_id,name,age,height
0,,,
2,,,
3,,,
ObjectID(531515583a543db604d15abf),John Doe,,
ObjectID(531519463a543db604d15ac3),Cain Hamlet,23,6.4
ObjectID(531519623a543db604d15ac4),Tamaki Suo,26,6.4
ObjectID(531519953a543db604d15ac5),Willford Brimley,86,5.2
ObjectID(531519db3a543db604d15ac6),Orcun Tagtekin,26,5.7
ObjectID(531519f33a543db604d15ac7),Ross Springsteen,28,5.7
ObjectID(53151a113a543db604d15ac8),Jairo Juardo,21,5.5
ObjectID(53151a763a543db604d15ac9),Abel Luteniet,24,5.5
ObjectID(53151ad03a543db604d15aca),Elizabeth Taylor,98,5.3
ObjectID(53151b163a543db604d15acb),Eward James Olmos,,
ObjectID(5317acc64750238da87ac91d),Mark Zuckerburg,28,
ObjectID(5317ad364750238da87ac91e),Ben Forta,58,
